Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Gls,Ast,crdY,crdR,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,PK Save%,SoT%,SoT per 90,G per Sh,Dist,Cmp,Cmp%,TotDist,ShortCmp%,MedCmp%,LongCmp%,KP,Pass into 1_3,PPA,CrsPA,SCA,SCA90,GCA,GCA90,Tkl,TklW,Deff Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Take-Ons Att,Succ%,Tkld%,Carries,ProDist,Carries 1_3,CPA,Mis,Dis,Rec,Rec PrgR,Fls,Fld,Off,Crs,Recov,Aerl Won,Aerl Lost,Aerl Won%
Ederson,BRA,Manchester City,GK,31.7,22,22,1960,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.15,68.5,31.8,0.0,,0.0,,,693,88.1,17056,100.0,98.3,65.7,4,20,1,0,6.0,0.28,4.0,0.18,0,0,2,2,0,0,0,1,833,587,824,9,0,0,0,,,563,1671,0,0,1,0,529,0,1,0,0,0,37,4,1,80.0
Edson Álvarez,MEX,West Ham,MF,27.52,25,19,1633,0,1,8,1,0.3,0.8,21,75,18,0.0,0.06,0.02,0.04,,,,,9.1,0.06,0.0,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,25.0,1.38,2.0,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3
Elliot Anderson,ENG,Nott'ham Forest,MF,22.48,32,28,2317,2,6,6,0,1.7,3.1,37,115,78,0.08,0.23,0.06,0.12,,,,,17.6,0.23,0.06,19.9,863,77.8,13736,89.1,80.1,47.0,34,90,17,2,75.0,2.91,10.0,0.39,78,50,93,51,41,8,33,26,1480,88,354,694,460,55,68,50.0,38.2,740,1868,27,15,52,36,869,78,37,54,4,70,177,42,21,66.7
Emerson Palmieri,ITA,West Ham,DF,30.74,29,25,2015,2,1,5,0,2.0,1.5,44,64,82,0.09,0.04,0.09,0.07,,,,,43.8,0.31,0.13,19.0,827,79.9,12096,89.8,81.2,42.4,16,49,13,5,41.0,1.83,2.0,0.09,57,29,44,19,32,8,24,20,1277,82,412,532,348,27,30,33.3,56.7,533,1666,25,8,24,7,713,82,24,13,0,63,84,16,18,47.1
Emile Smith Rowe,ENG,Fulham,MF,24.76,30,23,1852,6,2,2,0,4.4,1.1,50,120,113,0.29,0.1,0.21,0.05,,,,,29.4,0.49,0.18,15.4,834,90.0,11939,92.0,95.4,69.2,18,74,15,1,65.0,3.16,11.0,0.53,30,17,24,16,20,2,18,11,1112,20,153,525,444,55,33,48.5,45.5,721,1832,38,11,32,13,853,113,17,12,4,13,69,6,17,26.1
Emiliano Martínez,ARG,Aston Villa,GK,32.66,33,33,2880,0,0,4,0,0.0,0.5,0,3,0,0.0,0.0,0.0,0.02,1.41,65.9,15.2,50.0,,0.0,,,986,79.0,25707,97.8,98.1,49.9,2,21,0,0,6.0,0.19,1.0,0.03,3,3,2,0,1,0,1,0,1307,990,1292,15,0,0,1,100.0,0.0,794,2586,0,0,1,0,718,0,1,5,0,0,28,8,1,88.9
Emmanuel Agbadou,CIV,Wolves,DF,27.87,12,12,1050,0,0,2,0,0.3,0.2,3,21,1,0.0,0.0,0.02,0.02,,,,,16.7,0.09,0.0,31.8,597,84.4,12223,91.7,92.3,60.0,4,23,1,0,15.0,1.29,2.0,0.17,25,17,17,6,15,11,4,9,844,137,473,355,22,5,10,70.0,20.0,508,1085,3,0,3,3,549,1,5,4,1,1,63,22,15,59.5
Enzo Fernández,ARG,Chelsea,MF,24.28,32,28,2590,5,7,7,0,5.4,6.3,57,196,115,0.17,0.24,0.19,0.22,,,,,36.7,0.63,0.1,18.6,1397,80.0,24772,88.8,84.9,58.4,71,155,39,7,137.0,4.76,16.0,0.56,61,30,78,49,32,5,27,11,2021,32,309,1027,698,73,46,45.7,39.1,1115,2529,53,8,27,27,1487,115,45,47,1,103,141,13,27,32.5
Erling Haaland,NOR,Manchester City,FW,24.78,28,28,2480,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,,,,,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,62.0,2.25,9.0,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1
Ethan Pinnock,JAM,Brentford,DF,31.92,22,21,1913,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,,,,,60.0,0.28,0.2,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,21.0,0.99,0.0,0.0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4
Evanilson,BRA,Bournemouth,FW,25.56,27,24,1972,9,1,0,1,11.0,1.6,26,19,87,0.41,0.05,0.5,0.07,,,,,45.2,1.28,0.15,12.9,201,69.1,2409,74.6,70.7,64.3,23,14,2,0,56.0,2.56,8.0,0.37,14,9,10,4,10,2,8,0,479,22,49,183,250,113,19,31.6,36.8,279,734,15,14,31,22,337,87,31,43,17,0,56,38,56,40.4
Ezri Konsa,ENG,Aston Villa,DF,27.52,30,29,2576,1,0,0,0,0.9,0.4,16,73,11,0.03,0.0,0.03,0.01,,,,,33.3,0.1,0.11,9.1,1372,92.7,22993,96.3,95.7,65.0,5,93,1,0,23.0,0.8,3.0,0.1,32,17,22,4,17,9,8,21,1693,213,795,807,99,20,17,41.2,41.2,986,2465,11,2,16,9,1177,11,6,42,0,5,86,27,21,56.3
Fabian Schär,SUI,Newcastle Utd,DF,33.36,30,29,2575,4,0,7,1,2.1,0.4,14,95,17,0.14,0.0,0.07,0.01,,,,,34.5,0.35,0.14,21.8,1458,83.6,29169,92.5,92.7,51.4,5,139,10,0,27.0,0.94,3.0,0.1,32,19,34,20,36,24,12,40,2034,237,1061,857,127,31,12,66.7,16.7,1284,3313,23,2,11,6,1417,17,31,12,4,9,123,40,61,39.6
Facundo Buonanotte,ARG,Leicester City,"FW,MF",20.35,29,14,1474,4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,,,,,29.4,0.61,0.12,17.8,430,76.6,6782,85.7,81.9,48.6,24,40,13,2,50.0,3.05,4.0,0.24,53,32,67,46,32,6,26,11,850,26,127,436,300,36,79,32.9,62.0,465,1321,26,8,53,39,515,69,35,33,3,41,77,17,35,32.7
Flynn Downes,ENG,Southampton,MF,26.27,23,21,1791,1,0,10,0,0.6,1.1,24,59,28,0.05,0.0,0.03,0.05,,,,,30.0,0.15,0.1,18.7,851,89.8,12498,92.6,91.8,67.4,15,52,11,0,30.0,1.51,2.0,0.1,43,23,32,18,22,6,16,30,1136,76,343,605,197,20,14,35.7,50.0,540,1551,21,4,12,17,805,28,45,33,0,3,73,13,13,50.0
Gabriel Magalhães,BRA,Arsenal,DF,27.36,28,28,2363,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,,,,,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,35.0,1.33,6.0,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9
Gabriel Martinelli,BRA,Arsenal,"FW,MF",23.87,29,21,1956,7,4,1,0,5.9,4.5,106,44,259,0.32,0.18,0.27,0.21,,,,,42.2,0.87,0.16,13.0,429,71.0,6240,83.1,69.2,51.1,34,10,30,13,61.0,2.81,6.0,0.28,19,14,22,16,10,0,10,4,860,15,83,218,571,162,103,29.1,55.3,576,2268,29,55,48,33,655,259,14,19,8,80,70,14,29,32.6
Georginio Rutter,FRA,Brighton,"MF,FW",23.03,28,19,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,,,,,24.0,0.65,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,64.0,3.47,8.0,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2
Guglielmo Vicario,ITA,Tottenham,GK,28.56,22,22,1980,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.45,65.2,18.2,,,0.0,,,709,88.8,13716,99.1,97.3,51.0,0,1,0,0,4.0,0.18,0.0,0.0,0,0,0,0,0,0,0,1,848,568,830,18,0,0,1,100.0,0.0,606,1594,0,0,0,0,549,0,0,2,0,0,31,9,0,100.0
Guido Rodríguez,ARG,West Ham,MF,31.05,20,14,1018,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,,,,,12.5,0.09,0.0,27.8,419,84.1,7149,87.4,91.4,62.7,3,36,1,0,10.0,0.88,0.0,0.0,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0.0,284,392,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3
Harry Maguire,ENG,Manchester Utd,DF,32.15,23,17,1483,1,0,7,0,1.4,0.3,6,43,6,0.06,0.0,0.09,0.02,,,,,41.7,0.3,0.08,7.9,812,86.2,15170,91.8,91.0,58.3,6,42,3,0,17.0,1.03,0.0,0.0,26,13,17,4,14,12,2,37,1117,136,560,509,62,37,5,40.0,60.0,658,1644,6,3,6,2,722,6,17,8,1,2,53,51,21,70.8
Harry Wilson,WAL,Fulham,"FW,MF",28.11,21,9,937,5,1,2,0,3.2,1.1,16,46,79,0.48,0.1,0.31,0.1,,,,,31.0,0.86,0.17,17.7,279,73.6,4685,84.6,78.4,44.1,19,23,13,1,36.0,3.46,3.0,0.29,13,8,15,6,13,1,12,5,486,7,63,175,257,45,24,37.5,41.7,287,657,18,8,13,5,326,79,10,18,1,35,44,4,18,18.2
Harry Winks,ENG,Leicester City,MF,29.24,22,17,1538,0,2,4,0,0.2,1.2,19,101,11,0.0,0.12,0.01,0.07,,,,,40.0,0.23,0.0,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,39.0,2.28,3.0,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25.0,66.7,696,1522,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1
Harvey Barnes,ENG,Newcastle Utd,FW,27.39,29,13,1413,9,4,0,0,6.3,3.7,74,69,159,0.57,0.25,0.4,0.24,,,,,30.8,1.02,0.17,14.7,402,79.3,5599,87.2,74.7,64.7,21,21,34,8,52.0,3.3,9.0,0.57,16,9,7,4,7,1,6,6,676,15,82,225,374,102,56,37.5,50.0,471,2026,38,41,24,18,538,159,10,18,4,37,46,5,14,26.3
Ibrahima Konaté,FRA,Liverpool,DF,25.93,28,27,2320,1,2,5,0,1.7,1.0,21,103,3,0.04,0.08,0.07,0.04,,,,,16.7,0.12,0.06,10.5,1581,90.3,29259,93.7,95.1,55.7,10,125,8,0,30.0,1.16,7.0,0.27,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,50.0,25.0,1184,3160,13,0,8,2,1454,3,26,18,0,0,86,72,28,72.0
Idrissa Gana Gueye,SEN,Everton,MF,35.59,33,31,2705,0,3,8,0,1.1,1.7,24,126,23,0.0,0.1,0.04,0.06,,,,,18.5,0.17,0.0,25.2,1062,86.5,18071,90.7,90.5,74.0,19,130,10,3,56.0,1.86,3.0,0.1,123,74,87,33,44,9,35,41,1571,68,382,891,307,19,36,47.2,47.2,732,1501,25,4,30,33,895,23,51,39,0,7,177,22,15,59.5
Igor,BRA,Brighton,DF,27.22,12,9,903,0,0,4,0,0.0,0.2,9,44,0,0.0,0.0,0.0,0.02,,,,,0.0,0.0,0.0,14.1,628,92.1,11358,96.5,95.2,71.4,1,35,2,1,11.0,1.1,0.0,0.0,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75.0,25.0,497,1782,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1
Iliman Ndiaye,SEN,Everton,FW,25.15,29,26,2162,7,0,3,0,5.2,1.6,79,45,106,0.29,0.0,0.22,0.07,,,,,41.9,0.54,0.16,17.3,514,80.6,7768,86.0,85.8,68.0,17,34,14,5,58.0,2.42,5.0,0.21,47,25,44,25,25,4,21,17,956,32,197,397,410,74,134,45.5,47.0,552,2169,40,29,48,38,582,106,21,46,5,35,160,5,17,22.7
Illia Zabarnyi,UKR,Bournemouth,DF,22.66,32,31,2752,0,0,3,1,1.1,0.6,24,125,4,0.0,0.0,0.03,0.02,,,,,0.0,0.0,0.0,9.8,1216,81.3,25696,90.1,90.6,52.8,11,131,6,0,28.0,0.92,0.0,0.0,46,32,43,13,33,20,13,35,1809,214,842,920,67,13,8,62.5,25.0,1124,4327,20,0,14,3,1128,4,17,6,0,5,140,70,40,63.6
Ismaila Sarr,SEN,Crystal Palace,"MF,FW",27.18,34,26,2392,7,4,4,0,8.7,7.0,67,76,164,0.26,0.15,0.33,0.26,,,,,50.0,0.9,0.15,13.3,438,66.6,6582,74.8,70.8,47.7,37,26,36,8,97.0,3.65,9.0,0.34,21,10,23,16,22,7,15,8,954,39,156,367,441,118,51,29.4,52.9,526,1855,42,26,61,41,650,164,12,49,11,50,99,31,46,40.3
Issa Diop,FRA,Fulham,DF,28.3,21,15,1339,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,,,,,40.0,0.13,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,6.0,0.4,0.0,0.0,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,1216,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5
Jack Clarke,ENG,Ipswich Town,"FW,MF",24.43,28,11,1033,0,4,2,0,1.0,2.0,30,33,47,0.0,0.35,0.09,0.17,,,,,14.3,0.17,0.0,19.4,260,76.0,4206,86.7,85.6,46.4,23,24,6,0,39.0,3.4,5.0,0.44,28,17,31,15,6,0,6,7,476,22,114,195,181,32,38,55.3,31.6,264,966,18,9,20,16,287,47,14,20,3,13,65,7,14,33.3
Jack Harrison,ENG,Everton,FW,28.44,30,22,1887,1,0,0,0,3.3,3.7,62,45,116,0.05,0.0,0.16,0.18,,,,,22.2,0.29,0.04,16.3,374,63.2,5976,81.4,68.6,34.0,32,26,24,10,53.0,2.53,4.0,0.19,30,21,40,26,18,2,16,9,862,31,144,304,421,62,71,31.0,57.7,473,1439,32,14,50,37,556,116,13,26,4,115,65,4,26,13.3
Jack Hinshelwood,ENG,Brighton,"DF,MF",20.05,22,20,1676,2,2,5,0,1.5,1.3,16,60,46,0.11,0.11,0.08,0.07,,,,,42.9,0.32,0.14,14.3,800,83.4,12164,91.2,84.4,54.0,15,33,9,2,33.0,1.77,3.0,0.16,26,18,26,15,8,3,5,14,1100,49,307,505,293,26,9,11.1,77.8,539,1084,19,1,16,2,686,46,15,6,0,26,55,19,14,57.6
Jack Stephens,ENG,Southampton,DF,31.25,16,14,1164,1,0,2,2,0.6,0.2,13,50,2,0.08,0.0,0.04,0.01,,,,,50.0,0.15,0.25,11.0,751,91.9,12975,92.9,94.3,81.3,3,46,5,0,12.0,0.93,0.0,0.0,31,18,26,11,14,9,5,11,935,106,387,458,94,11,4,0.0,100.0,520,1127,11,1,2,3,655,2,12,4,1,1,41,6,8,42.9
Jacob Greaves,ENG,Ipswich Town,DF,24.63,21,21,1845,1,0,5,0,1.2,0.0,6,51,7,0.05,0.0,0.06,0.0,,,,,50.0,0.2,0.13,8.3,791,86.4,12967,93.1,90.1,41.4,2,59,1,0,13.0,0.63,0.0,0.0,31,14,26,9,36,24,12,18,1141,244,619,455,71,15,3,66.7,33.3,524,925,9,0,7,2,704,7,11,18,1,0,43,58,38,60.4
Jacob Murphy,ENG,Newcastle Utd,FW,30.18,31,27,2084,8,11,3,0,5.6,8.1,69,63,210,0.35,0.48,0.24,0.35,,,,,36.6,0.65,0.2,18.1,593,68.2,8970,84.1,66.9,42.9,38,46,34,14,73.0,3.16,14.0,0.61,22,15,30,14,31,0,31,11,1112,20,158,409,556,83,62,48.4,46.8,652,2055,31,24,30,33,802,210,11,14,3,108,88,4,15,21.1
Jacob Ramsey,ENG,Aston Villa,"FW,MF",23.92,26,18,1485,1,3,2,0,1.4,2.1,57,64,103,0.06,0.18,0.09,0.12,,,,,23.5,0.24,0.06,16.1,470,85.5,6225,92.0,84.2,73.7,18,30,20,1,49.0,2.97,8.0,0.48,29,15,20,10,21,3,18,7,712,12,134,252,338,66,42,57.1,23.8,466,1598,31,19,39,21,542,103,12,24,5,10,74,6,10,37.5
Jadon Sancho,ENG,Chelsea,FW,25.1,28,18,1668,3,4,1,0,2.0,3.4,96,86,214,0.16,0.22,0.11,0.18,,,,,30.4,0.38,0.13,15.3,624,82.5,8433,89.2,84.0,50.0,35,25,46,0,65.0,3.51,10.0,0.54,10,6,12,7,9,0,9,2,915,11,114,267,544,116,95,47.4,40.0,619,2337,32,55,29,21,715,214,6,11,5,23,97,5,10,33.3
Jake O'Brien,IRL,Everton,DF,23.96,17,14,1301,2,0,4,0,0.7,0.6,7,41,24,0.14,0.0,0.05,0.04,,,,,60.0,0.21,0.4,11.5,461,77.2,8367,88.5,78.5,63.0,6,37,8,5,15.0,1.04,0.0,0.0,20,14,22,8,15,4,11,4,745,61,302,313,133,18,10,40.0,50.0,315,648,6,2,5,5,386,24,11,4,3,17,50,33,23,58.9
James Garner,ENG,Everton,"MF,DF",24.13,17,13,1234,0,1,3,0,0.3,1.3,10,38,22,0.0,0.07,0.02,0.09,,,,,28.6,0.15,0.0,24.1,434,72.8,7598,83.6,82.3,44.7,11,39,5,2,30.0,2.19,4.0,0.29,37,23,33,16,14,3,11,16,734,32,187,360,194,9,16,37.5,62.5,336,578,13,1,11,7,386,22,16,12,0,50,60,10,8,55.6
James Justin,ENG,Leicester City,DF,27.18,32,30,2579,2,1,5,0,1.5,0.6,37,86,92,0.07,0.03,0.05,0.02,,,,,25.0,0.21,0.08,16.0,1052,77.6,16221,86.6,84.1,34.7,13,71,21,7,31.0,1.08,1.0,0.03,48,29,49,22,39,13,26,42,1714,131,594,768,362,37,29,31.0,44.8,770,1559,25,4,31,13,951,92,21,34,2,53,75,58,46,55.8
James Maddison,ENG,Tottenham,MF,28.43,31,21,1809,9,7,6,0,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,,,,,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,95.0,4.73,18.0,0.9,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,77,42.9,44.2,1026,2279,39,20,23,25,1125,95,32,64,4,98,76,5,7,41.7
James Tarkowski,ENG,Everton,DF,32.44,33,33,2922,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,,,,,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,38.0,1.17,4.0,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,71.4,28.6,727,1943,10,0,13,7,927,3,35,28,2,1,98,102,33,75.6
Jamie Vardy,ENG,Leicester City,FW,38.3,32,32,2571,7,3,5,0,10.2,2.9,27,20,108,0.25,0.11,0.36,0.1,,,,,40.0,0.7,0.12,12.2,238,66.9,3417,74.3,77.0,68.4,18,10,9,1,42.0,1.47,9.0,0.31,18,13,13,9,8,4,4,3,541,28,54,252,240,101,21,42.9,47.6,257,629,11,14,33,12,350,108,21,20,25,11,34,49,51,49.0
Jan Bednarek,POL,Southampton,DF,29.05,28,28,2351,2,0,7,0,0.7,0.5,4,58,2,0.08,0.0,0.02,0.02,,,,,40.0,0.08,0.4,16.0,1495,92.5,26431,95.3,94.5,75.9,5,71,1,0,16.0,0.61,0.0,0.0,35,18,30,15,43,32,11,53,1953,359,1028,892,40,15,3,100.0,0.0,996,1646,5,1,9,3,1249,2,31,12,0,1,102,68,36,65.4
Jan Paul van Hecke,NED,Brighton,DF,24.89,30,29,2598,1,1,8,1,1.3,1.5,53,209,5,0.03,0.03,0.04,0.05,,,,,31.3,0.17,0.06,14.1,1795,87.9,35321,93.0,93.0,65.6,13,202,16,4,48.0,1.66,3.0,0.1,39,25,37,17,32,19,13,23,2316,246,987,1196,153,30,10,40.0,40.0,1536,6643,41,0,12,7,1628,5,22,22,0,11,119,73,48,60.3
Jannik Vestergaard,DEN,Leicester City,DF,32.74,18,16,1391,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,,,,,66.7,0.13,0.0,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,7.0,0.45,0.0,0.0,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,100.0,0.0,672,1458,3,0,2,0,757,2,12,4,0,0,46,26,19,57.8
Jarrad Branthwaite,ENG,Everton,DF,22.84,27,25,2258,0,1,4,0,1.1,0.6,9,57,2,0.0,0.04,0.04,0.02,,,,,37.5,0.12,0.0,8.2,851,81.6,16684,89.7,90.3,55.0,2,75,2,0,12.0,0.48,2.0,0.08,35,20,26,7,29,21,8,23,1345,196,713,581,58,22,5,60.0,20.0,643,2143,13,2,8,3,774,2,10,15,1,3,80,50,36,58.1
Jarrod Bowen,ENG,West Ham,"FW,MF",28.36,30,30,2631,9,7,1,0,7.4,6.3,97,85,183,0.31,0.24,0.25,0.22,,,,,40.0,1.03,0.11,17.8,510,71.8,8497,83.9,76.4,55.1,49,37,42,7,102.0,3.49,13.0,0.44,36,23,37,20,21,3,18,16,1098,25,125,401,596,150,115,34.8,56.5,651,2295,43,55,67,68,718,183,18,47,9,100,120,11,44,20.0
Jean-Clair Todibo,FRA,West Ham,DF,25.33,23,16,1485,0,0,2,0,0.2,0.0,9,28,5,0.0,0.0,0.01,0.0,,,,,0.0,0.0,0.0,14.6,761,87.9,13519,93.3,94.8,45.3,2,40,1,0,5.0,0.3,0.0,0.0,36,22,30,7,23,12,11,20,1044,142,583,432,38,9,14,50.0,50.0,604,1354,5,0,9,8,714,5,10,5,0,2,62,23,23,50.0
Jean-Philippe Mateta,FRA,Crystal Palace,FW,27.84,33,30,2442,14,2,2,0,12.1,3.1,37,46,114,0.52,0.07,0.45,0.11,,,,,41.7,0.92,0.2,15.6,269,65.0,3557,76.4,62.5,31.8,27,31,15,2,56.0,2.06,8.0,0.29,17,12,16,13,16,3,13,2,680,24,57,327,310,86,42,42.9,47.6,363,894,20,8,67,41,502,114,27,26,17,24,60,59,95,38.3
Jean-Ricner Bellegarde,FRA,Wolves,"MF,FW",26.84,31,18,1486,2,6,3,0,1.3,3.6,47,36,81,0.12,0.36,0.08,0.22,,,,,25.0,0.3,0.1,21.7,403,79.2,6227,89.4,80.9,57.7,26,27,15,7,53.0,3.21,10.0,0.61,33,19,18,6,18,3,15,10,724,23,126,328,286,41,58,22.4,53.4,446,1375,34,10,36,23,500,81,29,39,1,38,55,8,18,30.8
Jefferson Lerma,COL,Crystal Palace,"MF,DF",30.51,29,23,2030,0,1,8,0,1.0,1.5,11,86,24,0.0,0.04,0.04,0.06,,,,,29.2,0.31,0.0,19.4,775,75.5,13637,86.8,81.3,46.7,9,83,17,2,42.0,1.86,3.0,0.13,30,15,33,16,32,15,17,36,1269,95,403,653,223,26,12,50.0,33.3,596,1004,10,0,14,15,745,24,34,35,0,11,139,39,38,50.6
Jens Cajuste,SWE,Ipswich Town,MF,25.72,26,23,1774,1,0,2,0,0.5,0.6,23,46,16,0.05,0.0,0.02,0.03,,,,,10.0,0.05,0.1,21.3,572,82.4,9440,88.8,85.7,50.0,11,45,5,1,30.0,1.52,1.0,0.05,39,19,47,28,24,9,15,25,904,59,261,475,182,11,45,53.3,33.3,420,1175,21,3,21,14,521,16,21,21,0,9,98,12,20,37.5
Jeremy Doku,BEL,Manchester City,"FW,MF",22.93,25,14,1307,3,5,1,0,1.0,3.9,176,62,235,0.21,0.34,0.07,0.27,,,,,37.5,0.62,0.13,18.2,517,79.5,7264,86.8,81.9,66.7,25,10,41,5,63.0,4.34,12.0,0.83,28,19,14,7,10,1,9,4,878,4,42,205,654,122,175,56.0,28.0,678,4066,83,80,51,50,729,235,7,30,5,48,52,0,10,0.0
Jesper Lindstrøm,DEN,Everton,FW,25.16,25,15,1239,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,,,,,35.7,0.73,0.0,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,46.0,3.35,1.0,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,18.6,72.1,302,780,19,7,31,24,347,81,15,10,1,71,70,6,12,33.3
Joe Aribo,NGA,Southampton,"MF,DF",28.78,30,20,1909,3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,,,,,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,37.0,1.75,1.0,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3
Joe Willock,ENG,Newcastle Utd,"MF,FW",25.69,29,10,953,0,2,2,0,1.5,1.9,34,35,76,0.0,0.19,0.14,0.18,,,,,18.8,0.28,0.0,15.7,262,81.9,3708,88.6,86.0,42.1,21,23,8,0,41.0,3.88,4.0,0.38,25,14,28,10,22,5,17,5,472,12,70,198,212,47,32,34.4,46.9,282,892,23,12,33,22,327,76,20,12,3,16,35,5,13,27.8
Joelinton,BRA,Newcastle Utd,"MF,FW",28.71,29,29,2393,4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,,,,,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,61.0,2.29,9.0,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,32.6,60.9,729,1786,26,9,39,53,934,110,58,35,7,16,149,59,46,56.2
John McGinn,SCO,Aston Villa,"MF,FW",30.53,30,24,1992,1,3,7,0,2.9,3.4,30,90,70,0.05,0.14,0.13,0.15,,,,,19.2,0.23,0.04,16.2,635,82.8,10675,91.6,86.5,59.8,27,60,27,7,66.0,2.98,6.0,0.27,31,22,26,15,20,2,18,14,965,27,154,514,307,52,43,39.5,27.9,530,1142,16,6,33,25,677,70,43,63,3,50,92,15,10,60.0
Jordan Pickford,ENG,Everton,GK,31.15,34,34,3060,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.21,71.5,29.4,100.0,,0.0,,,939,66.2,29916,99.3,98.3,46.5,2,66,8,0,12.0,0.35,2.0,0.06,1,0,2,1,0,0,0,1,1518,989,1451,68,0,0,0,,,861,3099,0,0,2,0,756,0,0,6,0,0,31,4,1,80.0
Joshua Zirkzee,NED,Manchester Utd,"FW,MF",23.94,32,14,1402,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,,,,,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,31.0,1.99,3.0,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0
José Sá,POR,Wolves,GK,32.28,26,26,2340,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,1.69,62.3,26.9,33.3,,0.0,,,516,63.5,13520,99.0,97.3,30.4,2,17,1,0,4.0,0.15,0.0,0.0,2,2,2,0,0,0,0,0,870,690,862,9,0,0,7,100.0,0.0,537,2083,0,0,1,0,426,0,4,8,0,0,29,8,0,100.0
