Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Gls,Ast,crdY,crdR,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,PK Save%,SoT%,SoT per 90,G per Sh,Dist,Cmp,Cmp%,TotDist,ShortCmp%,MedCmp%,LongCmp%,KP,Pass into 1_3,PPA,CrsPA,SCA,SCA90,GCA,GCA90,Tkl,TklW,Deff Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Take-Ons Att,Succ%,Tkld%,Carries,ProDist,Carries 1_3,CPA,Mis,Dis,Rec,Rec PrgR,Fls,Fld,Off,Crs,Recov,Aerl Won,Aerl Lost,Aerl Won%
Will Hughes,ENG,Crystal Palace,MF,30.04,29,21,1869,0,3,11,0,1.0,2.7,18,82,24,0.0,0.14,0.05,0.13,,,,,5.3,0.05,0.0,22.6,658,76.1,10532,88.6,82.7,36.7,29,69,14,3,61.0,2.94,6.0,0.29,61,33,59,32,29,14,15,19,1070,41,253,551,278,14,14,28.6,42.9,469,1120,22,1,19,24,594,24,60,30,0,65,107,17,17,50.0
William Saliba,FRA,Arsenal,DF,24.1,32,32,2814,2,0,2,1,2.3,0.9,16,134,6,0.06,0.0,0.07,0.03,,,,,33.3,0.06,0.33,5.4,2273,94.2,39201,95.7,96.1,80.4,7,175,6,0,26.0,0.83,1.0,0.03,58,34,26,6,23,14,9,21,2657,173,1036,1495,141,18,18,66.7,27.8,1642,3937,17,1,17,7,2013,6,27,17,1,3,140,57,35,62.0
Wout Faes,BEL,Leicester City,DF,27.07,30,26,2455,1,0,4,0,1.4,0.1,12,74,1,0.04,0.0,0.05,0.0,,,,,9.1,0.04,0.09,10.0,1175,87.1,21767,93.4,94.8,52.7,4,76,6,0,14.0,0.51,0.0,0.0,38,23,42,20,45,33,12,26,1653,270,809,785,67,26,6,83.3,16.7,953,2602,13,2,16,6,1085,1,21,9,1,5,84,41,34,54.7
Yankuba Minteh,GAM,Brighton,"FW,MF",20.77,28,16,1498,5,4,6,0,3.7,4.7,68,37,159,0.3,0.24,0.22,0.29,,,,,46.4,0.78,0.18,13.6,283,61.7,4572,77.6,61.6,46.7,25,12,28,7,52.0,3.13,10.0,0.6,43,31,45,28,17,0,17,10,687,27,122,194,389,118,81,46.9,44.4,392,1681,18,54,42,19,405,159,17,9,4,73,73,16,25,39.0
Yasin Ayari,SWE,Brighton,MF,21.56,30,19,1737,1,1,3,0,2.2,2.2,30,66,59,0.05,0.05,0.12,0.11,,,,,28.0,0.36,0.04,19.0,707,81.4,10616,91.6,85.0,37.5,28,51,17,4,58.0,3.0,6.0,0.31,53,29,50,30,22,6,16,20,1103,52,243,560,316,43,41,41.5,36.6,581,1389,25,6,32,21,712,59,31,23,3,64,105,13,19,40.6
Yehor Yarmoliuk,UKR,Brentford,MF,21.16,26,10,1039,0,0,4,0,0.6,0.3,12,45,42,0.0,0.0,0.05,0.02,,,,,22.2,0.17,0.0,15.9,471,86.1,8216,87.3,88.8,84.7,6,56,6,3,18.0,1.56,2.0,0.17,34,22,43,22,23,6,17,9,703,45,195,359,164,14,20,45.0,45.0,365,605,14,2,23,16,434,42,11,8,2,13,83,7,5,58.3
Yoane Wissa,COD,Brentford,FW,28.65,30,29,2470,16,3,2,0,14.9,1.8,48,56,131,0.58,0.11,0.54,0.07,,,,,45.9,1.24,0.22,13.7,394,77.1,5724,86.4,75.3,61.0,23,40,9,1,58.0,2.11,8.0,0.29,18,8,23,14,25,5,20,8,801,29,124,325,365,138,43,27.9,51.2,472,1345,20,26,62,27,569,131,26,44,14,20,61,28,31,47.5
Youri Tielemans,BEL,Aston Villa,MF,27.98,34,34,2915,2,7,4,0,3.0,6.9,37,226,44,0.06,0.22,0.09,0.21,,,,,30.6,0.34,0.06,20.4,1639,82.4,28103,90.1,87.6,53.8,59,221,35,4,116.0,3.58,12.0,0.37,82,56,72,33,36,15,21,21,2296,97,460,1324,537,41,57,52.6,31.6,1242,2466,26,9,30,28,1610,44,40,53,0,115,140,22,18,55.0
Yukinari Sugawara,JPN,Southampton,"DF,MF",24.84,29,15,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,,,,,38.5,0.31,0.08,19.2,689,79.9,10831,88.2,82.9,47.9,17,43,21,9,39.0,2.39,1.0,0.06,29,16,30,12,17,7,10,10,1023,61,306,395,327,29,20,45.0,50.0,553,1354,15,7,18,4,692,76,15,9,4,69,40,5,9,35.7
Yves Bissouma,MLI,Tottenham,MF,28.67,24,15,1210,2,0,7,0,0.6,0.3,15,71,3,0.15,0.0,0.04,0.02,,,,,40.0,0.3,0.2,23.2,693,89.4,10536,92.9,93.4,63.2,6,57,10,1,15.0,1.12,0.0,0.0,44,28,32,15,7,4,3,14,938,58,261,535,148,5,21,33.3,66.7,564,1513,17,0,22,13,657,3,22,18,0,2,71,4,7,36.4
Álex Moreno,ESP,Nott'ham Forest,"DF,MF",31.89,15,11,955,0,1,2,0,0.2,1.3,26,34,34,0.0,0.09,0.02,0.12,,,,,0.0,0.0,0.0,23.7,308,72.0,4574,87.6,64.2,35.0,8,25,9,2,16.0,1.51,2.0,0.19,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,864,16,4,13,6,258,34,12,6,0,19,50,3,11,21.4
İlkay Gündoğan,GER,Manchester City,MF,34.52,30,22,1967,0,5,1,0,2.7,2.7,55,113,81,0.0,0.23,0.13,0.12,,,,,20.0,0.23,0.0,18.3,1374,89.3,21191,94.2,92.1,62.3,36,93,21,2,72.0,3.29,10.0,0.46,24,13,23,13,14,0,14,13,1707,43,254,825,648,56,35,45.7,37.1,1016,2735,52,9,25,23,1330,81,14,21,0,57,104,13,11,54.2
Łukasz Fabiański,POL,West Ham,GK,40.03,13,12,1070,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.68,74.6,16.7,0.0,,0.0,,,304,67.0,8756,100.0,99.3,41.3,0,4,0,0,3.0,0.25,0.0,0.0,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,100.0,0.0,258,845,0,0,0,0,227,0,2,1,0,0,5,2,1,66.7
